id_file;pedido;id_agencia;agencia;id_client_file;id_estado;estado;proceso;proceso_habilitado;motivo;id_cliente_sugerido;nombre_cliente_sugerido;fuente_sugerencia;nota_nd
2992;11381;4;AUDI CENTER GALERIAS;2504;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2804;11383;4;AUDI CENTER GALERIAS;2346;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4130;11395;4;AUDI CENTER GALERIAS;3500;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2880;11401;4;AUDI CENTER GALERIAS;2377;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2922;11412;4;AUDI CENTER GALERIAS;856;3;Liberación;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2923;11414;4;AUDI CENTER GALERIAS;856;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2944;11420;4;AUDI CENTER GALERIAS;2462;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4154;11432;4;AUDI CENTER GALERIAS;3522;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3065;11433;4;AUDI CENTER GALERIAS;2570;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3162;11463;4;AUDI CENTER GALERIAS;2659;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3353;11507;4;AUDI CENTER GALERIAS;783;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3350;11512;4;AUDI CENTER GALERIAS;2808;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3386;11521;4;AUDI CENTER GALERIAS;2839;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3594;11551;4;AUDI CENTER GALERIAS;3029;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3857;11576;4;AUDI CENTER GALERIAS;3255;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
